cod;nome;período;valor
32;ES;1988;3.55
33;RJ;1988;2.11
35;SP;1988;3.99
41;PR;1988;5.11
42;SC;1988;6.33
43;RS;1988;8.46
50;MS;1988;2.99
51;MT;1988;2.68
52;GO;1988;5.16
53;DF;1988;3.76
11;RO;1989;4.63
12;AC;1989;4.28
13;AM;1989;1.76
14;RR;1989;2.6
15;PA;1989;1.9
16;AP;1989;2.6
17;TO;1989;2.25
21;MA;1989;0.67
22;PI;1989;1.31
23;CE;1989;1.62
24;RN;1989;2.54
25;PB;1989;1.92
26;PE;1989;1.39
27;AL;1989;1.69
28;SE;1989;0.49
29;BA;1989;0.97
31;MG;1989;2.93
32;ES;1989;3
33;RJ;1989;2.02
35;SP;1989;3.92
41;PR;1989;5.2
42;SC;1989;6.03
43;RS;1989;8.04
50;MS;1989;4.63
51;MT;1989;2.73
52;GO;1989;3.99
53;DF;1989;4.26
11;RO;1990;4.67
12;AC;1990;3.19
13;AM;1990;1.37
14;RR;1990;1.96
15;PA;1990;1.83
16;AP;1990;1.43
17;TO;1990;0.99
21;MA;1990;0.62
22;PI;1990;1.1
23;CE;1990;1.77
24;RN;1990;2.74
25;PB;1990;2.69
26;PE;1990;2.68
27;AL;1990;1.42
28;SE;1990;0.75
29;BA;1990;0.79
31;MG;1990;3.1
32;ES;1990;3.34
33;RJ;1990;2.34
35;SP;1990;4.34
41;PR;1990;5.48
42;SC;1990;7.34
43;RS;1990;7.8
50;MS;1990;4.65
51;MT;1990;2.37
52;GO;1990;2.64
53;DF;1990;4.68
11;RO;1991;4.06
12;AC;1991;3.83
13;AM;1991;1.56
14;RR;1991;8.27
15;PA;1991;2.24
16;AP;1991;3.45
17;TO;1991;1.41
21;MA;1991;1.05
22;PI;1991;0.85
23;CE;1991;2.07
24;RN;1991;3.06
25;PB;1991;2.18
26;PE;1991;3.26
27;AL;1991;1.67
28;SE;1991;2.81
29;BA;1991;0.81
31;MG;1991;3.13
32;ES;1991;3.88
33;RJ;1991;1.59
