cod;nome;período;valor
23;CE;2010;387
53;DF;2010;111
32;ES;2010;121
52;GO;2010;247
21;MA;2010;170
31;MG;2010;861
50;MS;2010;148
51;MT;2010;121
15;PA;2010;151
25;PB;2010;138
26;PE;2010;204
22;PI;2010;150
41;PR;2010;471
33;RJ;2010;356
24;RN;2010;103
11;RO;2010;63
14;RR;2010;23
43;RS;2010;831
35;SP;2010;1557
28;SE;2010;97
17;TO;2010;68
17;TO;2011;73
35;SP;2011;1625
28;SE;2011;88
42;SC;2011;405
43;RS;2011;832
14;RR;2011;25
11;RO;2011;54
24;RN;2011;143
33;RJ;2011;328
41;PR;2011;465
22;PI;2011;187
26;PE;2011;229
25;PB;2011;123
15;PA;2011;171
51;MT;2011;125
50;MS;2011;168
31;MG;2011;972
21;MA;2011;182
52;GO;2011;272
32;ES;2011;125
53;DF;2011;78
23;CE;2011;449
29;BA;2011;355
16;AP;2011;30
13;AM;2011;148
27;AL;2011;78
12;AC;2011;32
14;RR;2012;28
12;AC;2012;36
27;AL;2012;82
13;AM;2012;157
16;AP;2012;16
29;BA;2012;383
23;CE;2012;419
53;DF;2012;97
32;ES;2012;131
52;GO;2012;317
21;MA;2012;162
31;MG;2012;989
50;MS;2012;167
51;MT;2012;149
15;PA;2012;206
25;PB;2012;147
26;PE;2012;258
22;PI;2012;180
41;PR;2012;490
33;RJ;2012;336
24;RN;2012;131
11;RO;2012;60
43;RS;2012;939
42;SC;2012;416
28;SE;2012;86
35;SP;2012;1608
17;TO;2012;71
12;AC;2013;34
27;AL;2013;117
16;AP;2013;40
29;BA;2013;395
23;CE;2013;475
53;DF;2013;96
32;ES;2013;110
52;GO;2013;336
21;MA;2013;197
31;MG;2013;905
50;MS;2013;177
51;MT;2013;137
15;PA;2013;184
25;PB;2013;157
26;PE;2013;259
22;PI;2013;179
41;PR;2013;527
33;RJ;2013;321
13;AM;2013;180
17;TO;2013;79
35;SP;2013;1746
28;SE;2013;92
42;SC;2013;445
43;RS;2013;896
14;RR;2013;25
11;RO;2013;71
24;RN;2013;129
24;RN;2014;142
12;AC;2014;43
13;AM;2014;186
16;AP;2014;30
29;BA;2014;368
23;CE;2014;458
53;DF;2014;103
32;ES;2014;120
52;GO;2014;359
21;MA;2014;209
31;MG;2014;1078
50;MS;2014;160
51;MT;2014;127
15;PA;2014;167
25;PB;2014;130
26;PE;2014;244
22;PI;2014;187
41;PR;2014;507
33;RJ;2014;400
27;AL;2014;83
11;RO;2014;61
14;RR;2014;14
43;RS;2014;876
42;SC;2014;441
28;SE;2014;82
35;SP;2014;1783
17;TO;2014;61
27;AL;2015;92
13;AM;2015;212
16;AP;2015;41
29;BA;2015;419
23;CE;2015;442
53;DF;2015;92
32;ES;2015;135
52;GO;2015;339
21;MA;2015;221
31;MG;2015;1007
50;MS;2015;181
51;MT;2015;122
15;PA;2015;210
25;PB;2015;164
26;PE;2015;230
22;PI;2015;209
41;PR;2015;562
33;RJ;2015;411
24;RN;2015;128
11;RO;2015;86
14;RR;2015;40
43;RS;2015;908
42;SC;2015;498
28;SE;2015;99
35;SP;2015;1817
17;TO;2015;82
12;AC;2015;33
33;RJ;2016;435
12;AC;2016;43
27;AL;2016;87
13;AM;2016;155
16;AP;2016;31
29;BA;2016;431
23;CE;2016;486
53;DF;2016;118
32;ES;2016;125
52;GO;2016;382
21;MA;2016;230
31;MG;2016;1015
50;MS;2016;180
51;MT;2016;142
15;PA;2016;213
25;PB;2016;147
26;PE;2016;314
22;PI;2016;246
41;PR;2016;635
24;RN;2016;146
11;RO;2016;80
14;RR;2016;41
43;RS;2016;925
42;SC;2016;515
28;SE;2016;90
35;SP;2016;1759
17;TO;2016;82
17;TO;2017;89
41;PR;2017;593
22;PI;2017;260
26;PE;2017;329
25;PB;2017;197
15;PA;2017;230
51;MT;2017;142
50;MS;2017;200
31;MG;2017;1197
21;MA;2017;262
52;GO;2017;393
32;ES;2017;160
53;DF;2017;126
23;CE;2017;534
29;BA;2017;496
16;AP;2017;38
13;AM;2017;167
27;AL;2017;75
12;AC;2017;47
33;RJ;2017;446
24;RN;2017;142
11;RO;2017;86
14;RR;2017;35
43;RS;2017;1080
42;SC;2017;576
28;SE;2017;95
35;SP;2017;1831
43;RS;2018;985
12;AC;2018;42
27;AL;2018;101
13;AM;2018;186
16;AP;2018;42
29;BA;2018;480
23;CE;2018;539
53;DF;2018;128
32;ES;2018;180
52;GO;2018;387
21;MA;2018;247
31;MG;2018;1199
50;MS;2018;207
51;MT;2018;173
15;PA;2018;280
25;PB;2018;182
26;PE;2018;341
22;PI;2018;243
41;PR;2018;746
33;RJ;2018;522
24;RN;2018;165
11;RO;2018;91
14;RR;2018;25
42;SC;2018;562
28;SE;2018;103
35;SP;2018;1744
17;TO;2018;99
12;AC;2019;59
28;SE;2019;96
42;SC;2019;627
43;RS;2019;1141
14;RR;2019;37
11;RO;2019;105
24;RN;2019;171
33;RJ;2019;394
41;PR;2019;745
22;PI;2019;260
26;PE;2019;351
25;PB;2019;199
15;PA;2019;270
51;MT;2019;181
50;MS;2019;205
31;MG;2019;1373
21;MA;2019;265
52;GO;2019;450
32;ES;2019;179
53;DF;2019;145
23;CE;2019;496
29;BA;2019;531
16;AP;2019;47
35;SP;2019;1867
13;AM;2019;201
17;TO;2019;108
27;AL;2019;96
