cod;nome;período;valor
53;DF;2010;46
32;ES;2010;37
52;GO;2010;99
21;MA;2010;89
31;MG;2010;306
50;MS;2010;78
51;MT;2010;44
15;PA;2010;76
25;PB;2010;37
26;PE;2010;101
22;PI;2010;75
41;PR;2010;177
33;RJ;2010;107
24;RN;2010;29
11;RO;2010;29
14;RR;2010;19
43;RS;2010;212
42;SC;2010;115
28;SE;2010;47
17;TO;2010;32
51;MT;2011;50
12;AC;2011;14
27;AL;2011;35
13;AM;2011;99
16;AP;2011;19
29;BA;2011;129
23;CE;2011;196
53;DF;2011;40
32;ES;2011;34
52;GO;2011;93
21;MA;2011;93
31;MG;2011;377
50;MS;2011;79
15;PA;2011;88
25;PB;2011;48
26;PE;2011;108
22;PI;2011;74
41;PR;2011;156
33;RJ;2011;104
24;RN;2011;53
11;RO;2011;30
14;RR;2011;19
43;RS;2011;214
42;SC;2011;118
28;SE;2011;41
35;SP;2011;611
17;TO;2011;32
50;MS;2012;82
12;AC;2012;23
27;AL;2012;38
13;AM;2012;101
16;AP;2012;10
29;BA;2012;141
23;CE;2012;156
53;DF;2012;37
32;ES;2012;64
52;GO;2012;120
21;MA;2012;84
31;MG;2012;331
51;MT;2012;61
15;PA;2012;107
25;PB;2012;54
26;PE;2012;94
22;PI;2012;70
41;PR;2012;183
33;RJ;2012;100
24;RN;2012;35
11;RO;2012;24
14;RR;2012;18
43;RS;2012;214
42;SC;2012;112
28;SE;2012;35
35;SP;2012;569
17;TO;2012;37
28;SE;2013;40
12;AC;2013;23
27;AL;2013;52
13;AM;2013;133
16;AP;2013;26
29;BA;2013;111
23;CE;2013;186
53;DF;2013;44
32;ES;2013;26
52;GO;2013;124
21;MA;2013;87
31;MG;2013;301
35;SP;2013;598
50;MS;2013;84
17;TO;2013;33
51;MT;2013;55
15;PA;2013;88
25;PB;2013;46
26;PE;2013;85
22;PI;2013;74
41;PR;2013;180
33;RJ;2013;82
24;RN;2013;38
11;RO;2013;29
14;RR;2013;15
43;RS;2013;203
42;SC;2013;109
51;MT;2014;53
12;AC;2014;21
27;AL;2014;44
13;AM;2014;134
16;AP;2014;20
29;BA;2014;99
23;CE;2014;177
53;DF;2014;35
32;ES;2014;35
52;GO;2014;126
21;MA;2014;93
31;MG;2014;292
50;MS;2014;92
15;PA;2014;87
25;PB;2014;33
26;PE;2014;90
22;PI;2014;82
41;PR;2014;178
33;RJ;2014;119
24;RN;2014;35
11;RO;2014;36
14;RR;2014;9
43;RS;2014;231
42;SC;2014;146
28;SE;2014;39
35;SP;2014;564
17;TO;2014;28
50;MS;2015;86
31;MG;2015;298
21;MA;2015;101
52;GO;2015;120
43;RS;2015;189
42;SC;2015;120
28;SE;2015;36
35;SP;2015;601
17;TO;2015;35
12;AC;2015;21
27;AL;2015;23
13;AM;2015;127
16;AP;2015;25
29;BA;2015;136
23;CE;2015;158
53;DF;2015;43
14;RR;2015;31
32;ES;2015;34
11;RO;2015;38
24;RN;2015;38
33;RJ;2015;134
41;PR;2015;174
22;PI;2015;69
26;PE;2015;89
25;PB;2015;59
15;PA;2015;106
51;MT;2015;45
35;SP;2016;554
33;RJ;2016;124
24;RN;2016;56
11;RO;2016;25
14;RR;2016;33
43;RS;2016;188
42;SC;2016;130
28;SE;2016;30
17;TO;2016;30
41;PR;2016;173
22;PI;2016;92
26;PE;2016;106
25;PB;2016;42
15;PA;2016;114
51;MT;2016;58
50;MS;2016;83
31;MG;2016;300
21;MA;2016;103
52;GO;2016;145
32;ES;2016;43
53;DF;2016;49
23;CE;2016;161
29;BA;2016;135
16;AP;2016;16
13;AM;2016;100
27;AL;2016;37
12;AC;2016;27
15;PA;2017;125
25;PB;2017;50
26;PE;2017;116
22;PI;2017;98
41;PR;2017;191
12;AC;2017;27
27;AL;2017;31
13;AM;2017;105
51;MT;2017;53
16;AP;2017;24
50;MS;2017;99
31;MG;2017;359
21;MA;2017;108
29;BA;2017;149
52;GO;2017;147
32;ES;2017;39
53;DF;2017;54
23;CE;2017;176
17;TO;2017;32
35;SP;2017;574
28;SE;2017;40
42;SC;2017;159
43;RS;2017;259
14;RR;2017;19
11;RO;2017;43
24;RN;2017;47
33;RJ;2017;139
21;MA;2018;104
31;MG;2018;336
50;MS;2018;103
51;MT;2018;68
15;PA;2018;176
25;PB;2018;59
26;PE;2018;114
22;PI;2018;101
41;PR;2018;232
33;RJ;2018;153
24;RN;2018;44
11;RO;2018;49
14;RR;2018;18
43;RS;2018;207
42;SC;2018;163
28;SE;2018;34
35;SP;2018;599
17;TO;2018;47
12;AC;2018;28
27;AL;2018;49
13;AM;2018;115
16;AP;2018;33
29;BA;2018;133
