cod;nome;período;valor
41;PR;1989;432
35;SP;1989;1192
33;RJ;1989;254
32;ES;1989;75
31;MG;1989;450
29;BA;1989;111
28;SE;1989;7
27;AL;1989;41
26;PE;1989;97
25;PB;1989;60
24;RN;1989;59
23;CE;1989;100
22;PI;1989;33
21;MA;1989;32
17;TO;1989;20
16;AP;1989;7
11;RO;1989;47
12;AC;1989;17
13;AM;1989;35
14;RR;1989;5
15;PA;1989;89
43;RS;1989;715
53;DF;1989;65
52;GO;1989;154
51;MT;1989;51
50;MS;1989;79
42;SC;1989;264
26;PE;1990;189
53;DF;1990;73
52;GO;1990;104
51;MT;1990;46
50;MS;1990;81
43;RS;1990;703
42;SC;1990;327
41;PR;1990;459
35;SP;1990;1345
33;RJ;1990;297
32;ES;1990;85
31;MG;1990;482
29;BA;1990;93
28;SE;1990;11
27;AL;1990;35
25;PB;1990;85
24;RN;1990;65
23;CE;1990;111
22;PI;1990;28
21;MA;1990;30
17;TO;1990;9
11;RO;1990;50
12;AC;1990;13
13;AM;1990;28
14;RR;1990;4
15;PA;1990;88
16;AP;1990;4
50;MS;1991;69
51;MT;1991;52
52;GO;1991;183
53;DF;1991;92
24;RN;1991;74
23;CE;1991;132
22;PI;1991;22
21;MA;1991;52
17;TO;1991;13
16;AP;1991;10
31;MG;1991;494
11;RO;1991;46
12;AC;1991;16
13;AM;1991;33
14;RR;1991;18
15;PA;1991;111
29;BA;1991;97
25;PB;1991;70
26;PE;1991;233
27;AL;1991;42
28;SE;1991;42
32;ES;1991;101
33;RJ;1991;204
35;SP;1991;1383
41;PR;1991;468
42;SC;1991;336
43;RS;1991;793
52;GO;1992;194
11;RO;1992;48
12;AC;1992;9
13;AM;1992;40
14;RR;1992;8
15;PA;1992;115
16;AP;1992;10
17;TO;1992;17
21;MA;1992;34
22;PI;1992;30
23;CE;1992;128
24;RN;1992;47
25;PB;1992;50
26;PE;1992;191
27;AL;1992;52
28;SE;1992;79
29;BA;1992;116
31;MG;1992;548
32;ES;1992;81
33;RJ;1992;182
35;SP;1992;1447
41;PR;1992;482
42;SC;1992;309
43;RS;1992;820
50;MS;1992;93
51;MT;1992;59
53;DF;1992;79
31;MG;1993;522
32;ES;1993;98
33;RJ;1993;255
35;SP;1993;1581
41;PR;1993;455
42;SC;1993;308
43;RS;1993;747
50;MS;1993;126
51;MT;1993;61
52;GO;1993;203
53;DF;1993;96
11;RO;1993;50
12;AC;1993;19
13;AM;1993;45
14;RR;1993;12
15;PA;1993;106
16;AP;1993;11
17;TO;1993;13
21;MA;1993;43
22;PI;1993;48
23;CE;1993;170
24;RN;1993;65
25;PB;1993;48
26;PE;1993;238
27;AL;1993;59
28;SE;1993;34
29;BA;1993;142
29;BA;1994;174
32;ES;1994;89
33;RJ;1994;242
35;SP;1994;1663
41;PR;1994;503
42;SC;1994;332
43;RS;1994;834
50;MS;1994;119
51;MT;1994;57
52;GO;1994;229
53;DF;1994;103
11;RO;1994;59
12;AC;1994;14
13;AM;1994;48
14;RR;1994;11
15;PA;1994;88
16;AP;1994;9
17;TO;1994;13
21;MA;1994;30
22;PI;1994;42
23;CE;1994;139
24;RN;1994;81
25;PB;1994;73
26;PE;1994;248
27;AL;1994;97
28;SE;1994;40
31;MG;1994;595
16;AP;1995;13
21;MA;1995;45
22;PI;1995;55
23;CE;1995;180
24;RN;1995;85
25;PB;1995;83
26;PE;1995;312
27;AL;1995;53
28;SE;1995;39
31;MG;1995;597
29;BA;1995;161
32;ES;1995;101
33;RJ;1995;324
35;SP;1995;1758
41;PR;1995;565
42;SC;1995;376
43;RS;1995;956
50;MS;1995;136
51;MT;1995;109
52;GO;1995;284
53;DF;1995;105
11;RO;1995;42
12;AC;1995;9
13;AM;1995;63
14;RR;1995;16
15;PA;1995;111
17;TO;1995;16
13;AM;1996;70
11;RO;1996;37
12;AC;1996;10
14;RR;1996;19
15;PA;1996;158
16;AP;1996;23
17;TO;1996;23
21;MA;1996;51
22;PI;1996;48
23;CE;1996;262
24;RN;1996;82
25;PB;1996;39
26;PE;1996;281
27;AL;1996;55
28;SE;1996;45
29;BA;1996;182
31;MG;1996;596
32;ES;1996;112
33;RJ;1996;379
35;SP;1996;1732
41;PR;1996;610
42;SC;1996;379
43;RS;1996;950
50;MS;1996;128
51;MT;1996;125
52;GO;1996;229
53;DF;1996;118
31;MG;1997;641
14;RR;1997;16
15;PA;1997;132
16;AP;1997;13
17;TO;1997;14
21;MA;1997;48
22;PI;1997;56
23;CE;1997;217
24;RN;1997;82
25;PB;1997;63
26;PE;1997;313
27;AL;1997;44
28;SE;1997;39
12;AC;1997;13
11;RO;1997;40
13;AM;1997;79
53;DF;1997;116
52;GO;1997;251
51;MT;1997;103
